mode,cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,dmem_valid,dmem_ready
2,1205,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1206,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1207,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1208,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1209,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1210,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1211,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1212,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1213,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1214,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,1
2,1215,1,00000044,000d6e80,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,0
2,1216,1,00000048,01cb2023,1,00000044,000d6e80,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,0,0
2,1217,1,0000004c,2dcbe87c,1,00000048,01cb2023,1,00000044,000d6e80,1,00000040,35833e56,1,0000003c,00843021,0,0
2,1218,1,00000050,00072383,1,0000004c,2dcbe87c,1,00000048,01cb2023,1,00000044,000d6e80,1,00000040,35833e56,0,0
2,1219,1,00000054,00ef3824,1,00000050,00072383,1,0000004c,2dcbe87c,1,00000048,01cb2023,1,00000044,000d6e80,0,0
2,1220,1,00000058,35cd31be,1,00000054,00ef3824,1,00000050,00072383,1,0000004c,2dcbe87c,1,00000048,01cb2023,0,0
2,1221,1,0000005c,00025d83,1,00000058,35cd31be,1,00000054,00ef3824,1,00000050,00072383,1,0000004c,2dcbe87c,0,0
2,1222,1,00000060,01c54821,1,0000005c,00025d83,1,00000058,35cd31be,1,00000054,00ef3824,1,00000050,00072383,0,0
2,1223,1,00000064,346e1b44,1,00000060,01c54821,1,0000005c,00025d83,1,00000058,35cd31be,1,00000054,00ef3824,0,0
2,1224,1,00000068,ac02002c,1,00000064,346e1b44,1,00000060,01c54821,1,0000005c,00025d83,1,00000058,35cd31be,0,0
2,1225,1,0000006c,8c03002c,1,00000068,ac02002c,1,00000064,346e1b44,1,00000060,01c54821,1,0000005c,00025d83,0,0
2,1226,1,00000070,00636021,1,0000006c,8c03002c,1,00000068,ac02002c,1,00000064,346e1b44,1,00000060,01c54821,0,0
2,1227,1,00000074,0104302a,1,00000070,00636021,1,0000006c,8c03002c,1,00000068,ac02002c,1,00000064,346e1b44,1,1
2,1228,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,1,00000068,ac02002c,1,0
2,1229,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1230,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1231,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1232,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1233,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1234,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1235,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1236,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1237,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1238,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1239,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,0
2,1240,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,00000068,ac02002c,1,1
2,1241,1,00000078,29ce50eb,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,1,0000006c,8c03002c,0,0
2,1242,1,0000007c,00025383,1,00000078,29ce50eb,1,00000074,0104302a,1,00000070,00636021,0,0000006c,8c03002c,0,0
2,1243,1,00000080,01cf302a,1,0000007c,00025383,1,00000078,29ce50eb,1,00000074,0104302a,1,00000070,00636021,0,0
